MatchId,Patch,QueueType,RankFk,GameDuration
EUW1_7007329241,14.14.601.7634,CHERRY,0,1474
EUW1_7010089362,14.14.602.3371,CLASSIC,0,1665
EUW1_7013179099,14.14.602.3371,CLASSIC,0,1871
EUW1_7013494837,14.14.601.7634,CLASSIC,0,1163
EUW1_7017421209,14.14.601.7634,CLASSIC,0,1947
EUW1_7021552966,14.14.602.7801,CLASSIC,0,1835
EUW1_7021713311,14.14.602.7801,CLASSIC,0,1970
EUW1_7021890070,14.14.602.7801,CLASSIC,0,1346
EUW1_7022022395,14.14.602.7801,CLASSIC,0,1330
EUW1_7022474063,14.14.602.7801,CLASSIC,0,1922
EUW1_7022666643,14.14.602.7801,CLASSIC,0,2411
EUW1_7022721108,14.14.602.7801,CHERRY,0,1083
EUW1_7026230114,14.14.602.7801,CHERRY,0,1338
EUW1_7027106438,14.14.602.7801,CLASSIC,0,1818
EUW1_7027298991,14.14.602.7801,CLASSIC,0,1871
EUW1_7027486596,14.14.602.7801,CLASSIC,0,1991
EUW1_7028025921,14.14.602.7801,CLASSIC,0,1626
EUW1_7036886242,14.14.603.4237,CLASSIC,0,1572
EUW1_7037034196,14.14.603.4237,CLASSIC,0,2033
EUW1_7037149797,14.14.603.4237,CLASSIC,0,944
EUW1_7037258705,14.14.603.4237,CLASSIC,0,2439
EUW1_7037449139,14.14.603.4237,CLASSIC,0,6020
EUW1_7037575734,14.14.603.4237,CLASSIC,0,1674
EUW1_7043679130,14.14.603.4237,CLASSIC,0,2342
EUW1_7046559586,14.14.603.4237,CLASSIC,0,913
EUW1_7046583672,14.14.603.4237,CLASSIC,0,1524
EUW1_7046595149,14.14.603.4237,CLASSIC,0,112
EUW1_7049409689,14.14.603.4237,CLASSIC,0,1990
EUW1_7049461738,14.14.603.4237,CLASSIC,0,1881
EUW1_7049512278,14.14.603.4237,CLASSIC,0,1563
EUW1_7050406181,14.14.603.4237,ARAM,0,1112
EUW1_7050470215,14.14.603.4237,ARAM,0,1083
EUW1_7050649253,14.14.603.4237,CLASSIC,0,1903
EUW1_7050780624,14.14.603.4237,CLASSIC,0,1745
EUW1_7051635289,14.14.603.4237,CLASSIC,0,1279
EUW1_7051675261,14.14.603.4237,CLASSIC,0,1810
EUW1_7052471848,14.14.603.4237,CLASSIC,0,2098
EUW1_7053589369,14.15.604.8769,CLASSIC,0,109
EUW1_7053608962,14.15.604.8769,CLASSIC,0,476
EUW1_7053982657,14.15.604.8769,CLASSIC,0,1799
EUW1_7054370027,14.15.604.8769,CLASSIC,0,107
EUW1_7054399282,14.15.604.8769,CLASSIC,0,1956
EUW1_7054509732,14.15.604.8769,CLASSIC,0,2021
EUW1_7054616705,14.15.604.8769,CLASSIC,0,2036
EUW1_7054722469,14.15.604.8769,CLASSIC,0,1620
EUW1_7054805179,14.15.604.8769,CLASSIC,0,1664
EUW1_7054906601,14.15.604.8769,CLASSIC,0,1867
EUW1_7056528296,14.15.604.8769,CLASSIC,0,1930
EUW1_7056630708,14.15.604.8769,CLASSIC,0,1026
EUW1_7056687137,14.15.604.8769,CLASSIC,0,1682
EUW1_7060278786,14.15.604.8769,CLASSIC,0,1120
EUW1_7060324836,14.15.604.8769,CLASSIC,0,1546
EUW1_7060380212,14.15.604.8769,CLASSIC,0,2106
EUW1_7060471393,14.15.604.8769,CLASSIC,0,1828
EUW1_7060929227,14.15.604.8769,CLASSIC,0,1841
EUW1_7060998527,14.15.604.8769,CLASSIC,0,1818
EUW1_7061042689,14.15.604.8769,CLASSIC,0,1873
EUW1_7061079240,14.15.604.8769,CLASSIC,0,1791
EUW1_7061857585,14.15.604.8769,CLASSIC,0,1083
EUW1_7061914574,14.15.604.8769,CLASSIC,0,955
EUW1_7061956009,14.15.604.8769,CLASSIC,0,1665
EUW1_7062038555,14.15.604.8769,CLASSIC,0,1295
EUW1_7062089341,14.15.604.8769,CLASSIC,0,2109
EUW1_7062185285,14.15.604.8769,CLASSIC,0,1974
EUW1_7062281310,14.15.604.8769,CLASSIC,0,1448
EUW1_7062353858,14.15.604.8769,CLASSIC,0,1572
EUW1_7063358051,14.15.604.8769,CLASSIC,0,928
EUW1_7063390066,14.15.604.8769,CLASSIC,0,1782
EUW1_7063426413,14.15.604.8769,CLASSIC,0,108
EUW1_7065927561,14.15.607.22,CLASSIC,0,2393
EUW1_7070824762,14.15.607.22,CLASSIC,0,1758
EUW1_7070892583,14.15.607.22,CLASSIC,0,1565
EUW1_7070952677,14.15.607.22,CLASSIC,0,1527
EUW1_7071013610,14.15.607.22,CLASSIC,0,2606
EUW1_7074264332,14.15.607.22,CLASSIC,6,1859
EUW1_7075484695,14.15.607.22,CLASSIC,6,2130
EUW1_7075543297,14.15.607.22,CLASSIC,6,1386
EUW1_7075576958,14.15.607.22,CLASSIC,6,2375
EUW1_7075866147,14.15.607.22,CLASSIC,0,1715
EUW1_7075948696,14.15.607.22,CLASSIC,0,1554
EUW1_7075987591,14.15.607.22,CLASSIC,0,1258
